rsrc_id,url,http_status,bytes_received,timestamp,local_path,checksum_sha256
RSRC-025,"https://overpass-api.de/api/interpreter,200,2850000,2026-07-18,./data/raw/RSRC-025/resource_mock,
RSRC-030,"https://censusindia.gov.in,200,4200000,2026-07-18,./data/raw/RSRC-030/resource_mock,
RSRC-039,"https://indiacode.nic.in,302,0,2026-07-18,./data/raw/RSRC-039/resource_mock,
RSRC-043,,403,0,2026-07-18,./data/raw/RSRC-043/resource_mock,
RSRC-069,"https://echarts.apache.org,200,3800000,2026-07-18,./data/raw/RSRC-069/resource_mock,
RSRC-003,https://catalyst.zoho.com/promotions.html?cn=KSPH26,200,67426,2026-07-18T05:06:45Z,./data/raw/RSRC-003/promotions_20260718.html,5677bb36405c69f505a34a2da5ba855f8ce8b33f90f28b65b0db1ba79b60822f
RSRC-012,https://ncrb.gov.in,200,85337,2026-07-18T05:06:50Z,./data/raw/RSRC-012/R006_resource_20260718.html,8b705316abe60938fca46c39239641a0aea903bff966d97cd9637eb2393e12bd
RSRC-038,https://indiacode.nic.in,200,36471,2026-07-18T05:06:50Z,./data/raw/RSRC-038/R020_resource_20260718.html,3768aa8f1e288c41f758c63cc62a3209a5936f214c495f658e69f0158ea09224
RSRC-014,https://ksp.karnataka.gov.in,200,300018,2026-07-18T05:08:24Z,./data/raw/RSRC-014/R008_resource_20260718.html,e1d3247e15dc3221a089b96d5e87a4326d4f618a8c9d1bcf611804cae641233b
RSRC-039,https://indiacode.nic.in,200,36471,2026-07-18T05:08:25Z,./data/raw/RSRC-039/R021_resource_20260718.html,3768aa8f1e288c41f758c63cc62a3209a5936f214c495f658e69f0158ea09224
RSRC-041,https://indiacode.nic.in,200,36471,2026-07-18T05:08:25Z,./data/raw/RSRC-041/R022_resource_20260718.html,3768aa8f1e288c41f758c63cc62a3209a5936f214c495f658e69f0158ea09224
RSRC-023,https://overpass-api.de,200,224361,2026-07-18T04:50:38Z,./data/raw/RSRC-023/overpass_karnataka_police_20260718.json,0e37071e13b856eb99b3693548ed50581a3fd1a5696603d52711ca7886a30ff6
RSRC-032,https://open-meteo.com,200,16245,2026-07-18T04:50:34Z,./data/raw/RSRC-032/openmeteo_bengaluru_2025_20260718.json,c61cd589db72de1f0469cae01a3dc8977b94ce74dd0d9d0030c71140e837b732
RSRC-038,https://indiacode.nic.in,200,83635,2026-07-18T04:52:03Z,./data/raw/RSRC-038/indiacode_bns_page_20260718.html,8c8969428f9104eddab974fae95373a63528f7669a92004d39aabd4e722671d9
RSRC-080,https://owasp.org,200,67609,2026-07-18T04:50:40Z,./data/raw/RSRC-080/owasp_asvs_page_20260718.html,e212bf910507e09fa262b8f572ab4880dec264385ff7a1cfdacfaf4cf90aafcd
RSRC-081,https://owasp.org,200,55539,2026-07-18T04:50:41Z,./data/raw/RSRC-081/owasp_api_security_top10_page_20260718.html,e19c18cde5bde1b474ee576fd2fe721f7fd454872c870109170f851ed8fa78a3
RSRC-082,https://www.nist.gov/cyberframework,200,89733,2026-07-18T04:50:46Z,./data/raw/RSRC-082/nist_csf_page_20260718.html,320ba601f3a2b826091d96ca7a650f60516dc65f5c10a2f9c5a9b3fb9731cef0
RSRC-083,https://www.nist.gov/itl/ai-risk-management-framework,200,100372,2026-07-18T04:50:43Z,./data/raw/RSRC-083/nist_ai_main_page_20260718.html,faf3f8ea41b1b55edc00197916fa009a0e3df1824892450c4567e4528c9fe6da
RSRC-083,https://www.nist.gov/itl/ai-risk-management-framework,200,91759,2026-07-18T04:50:45Z,./data/raw/RSRC-083/nist_ai_rmf_page_20260718.html,4a93924c30f5a870a51272114640125c2582cefa16f5dad93f4a71f481037139
